Text,Label,is_alpha,is_numeric,capital_initial,unigram,bigram,trigram,text_length,contain_period,contain_percent,contain_hyphen,contain_word_percent
Tom Horton,CEO,1,0,1,0,1,0,10,0,0,0,0
Patti Hart,CEO,1,0,1,0,1,0,10,0,0,0,0
Jamie Dimon,CEO,1,0,1,0,1,0,11,0,0,0,0
Steve Cohen,CEO,1,0,1,0,1,0,11,0,0,0,0
Tim Cook,CEO,1,0,1,0,1,0,8,0,0,0,0
Steve Jobs,CEO,1,0,1,0,1,0,10,0,0,0,0
Daniel Doctoroff,CEO,1,0,1,0,1,0,16,0,0,0,0
Laura Lang,CEO,1,0,1,0,1,0,10,0,0,0,0
Andrew Mason,CEO,1,0,1,0,1,0,12,0,0,0,0
Jeffrey Gundlach,CEO,1,0,1,0,1,0,16,0,0,0,0
Tim Armstrong,CEO,1,0,1,0,1,0,13,0,0,0,0
Elon Musk,CEO,1,0,1,0,1,0,9,0,0,0,0
Maurice Taylor,CEO,1,0,1,0,1,0,14,0,0,0,0
Mark Benioff,CEO,1,0,1,0,1,0,12,0,0,0,0
Thomas Jones,CEO,1,0,1,0,1,0,12,0,0,0,0
Don Thompson,CEO,1,0,1,0,1,0,12,0,0,0,0
Ron Johnson,CEO,1,0,1,0,1,0,11,0,0,0,0
Michael Eisner,CEO,1,0,1,0,1,0,14,0,0,0,0
Mark Zuckerberg,CEO,1,0,1,0,1,0,15,0,0,0,0
Apu Gupta,CEO,1,0,1,0,1,0,9,0,0,0,0
Sergio Marchionne,CEO,1,0,1,0,1,0,17,0,0,0,0
John Thain,CEO,1,0,1,0,1,0,10,0,0,0,0
John Bilbrey,CEO,1,0,1,0,1,0,12,0,0,0,0
Myron Ullman,CEO,1,0,1,0,1,0,12,0,0,0,0
Ross Levinsohn,CEO,1,0,1,0,1,0,14,0,0,0,0
Dick Fuld,CEO,1,0,1,0,1,0,9,0,0,0,0
Alan Mulally,CEO,1,0,1,0,1,0,12,0,0,0,0
Jeff Bezos,CEO,1,0,1,0,1,0,10,0,0,0,0
Tim Clark,CEO,1,0,1,0,1,0,9,0,0,0,0
Brady Dougan,CEO,1,0,1,0,1,0,12,0,0,0,0
Stephen Hester,CEO,1,0,1,0,1,0,14,0,0,0,0
Avishai Abrahami,CEO,1,0,1,0,1,0,16,0,0,0,0
Graham Weston,CEO,1,0,1,0,1,0,13,0,0,0,0
Joe Magnacca,CEO,1,0,1,0,1,0,12,0,0,0,0
Antony Jenkins,CEO,1,0,1,0,1,0,14,0,0,0,0
Steve Ballmer,CEO,1,0,1,0,1,0,13,0,0,0,0
Brad Katsuyama,CEO,1,0,1,0,1,0,14,0,0,0,0
John Wren,CEO,1,0,1,0,1,0,9,0,0,0,0
Jonathan Bush,CEO,1,0,1,0,1,0,13,0,0,0,0
Mario Gabelli,CEO,1,0,1,0,1,0,13,0,0,0,0
Jayshree Ullal,CEO,1,0,1,0,1,0,14,0,0,0,0
Robert Thomas,CEO,1,0,1,0,1,0,13,0,0,0,0
David Pyott,CEO,1,0,1,0,1,0,11,0,0,0,0
Lorenzo Grabau,CEO,1,0,1,0,1,0,14,0,0,0,0
Lloyd Blankfein,CEO,1,0,1,0,1,0,15,0,0,0,0
Genaro Garcia,CEO,1,0,1,0,1,0,13,0,0,0,0
Indra Nooyi,CEO,1,0,1,0,1,0,11,0,0,0,0
Javier Romero,CEO,1,0,1,0,1,0,13,0,0,0,0
Mark Fields,CEO,1,0,1,0,1,0,11,0,0,0,0
James Mitarotonda,CEO,1,0,1,0,1,0,17,0,0,0,0
Jonathan Lu,CEO,1,0,1,0,1,0,11,0,0,0,0
Bernardo Hees,CEO,1,0,1,0,1,0,13,0,0,0,0
Tilman Fertitta,CEO,1,0,1,0,1,0,15,0,0,0,0
Mark Frissora,CEO,1,0,1,0,1,0,13,0,0,0,0
Jane Mendillo,CEO,1,0,1,0,1,0,13,0,0,0,0
Dustin Moskovitz,CEO,1,0,1,0,1,0,16,0,0,0,0
Carly Fiorina,CEO,1,0,1,0,1,0,13,0,0,0,0
Tony Posawatz,CEO,1,0,1,0,1,0,13,0,0,0,0
Glenn Murphy,CEO,1,0,1,0,1,0,12,0,0,0,0
Frank Lavin,CEO,1,0,1,0,1,0,11,0,0,0,0
Carlos Rodriguez,CEO,1,0,1,0,1,0,16,0,0,0,0
Doug Hodge,CEO,1,0,1,0,1,0,10,0,0,0,0
Josh Brown,CEO,1,0,1,0,1,0,10,0,0,0,0
